PIXEL,WAVELENGTH,BG,GRAY,GRAY/WHITE,WHITE,LEAF,WHITE-BG,LEAF-BG,(LEAF-BG)/(WHITE-BG)
203,686.8,16.0000,16,0.5129,16.0000,16,0,0,0.000000
204,689,16.0000,16,0.5181,16.0000,16,0,0,0.000000
205,691.2,16.0000,16,0.5234,16.0000,16,0,0,0.000000
206,693.4,16.0000,16,0.5290,16.0000,16,0,0,0.000000
207,695.6,16.0000,16,0.5345,16.0000,16,0,0,0.000000
208,697.8,16.0000,16,0.5401,16.0000,16,0,0,0.000000
209,700,16.0000,16,0.5455,16.0000,16,0,0,0.000000
210,702.2,16.0000,16,0.5510,16.0000,16,0,0,0.000000
211,704.4,16.0000,16,0.5565,16.0000,16,0,0,0.000000
212,706.6,16.0000,16,0.5622,16.0000,16,0,0,0.000000
213,708.8,16.0000,16,0.5680,16.0000,16,0,0,0.000000
214,711,16.0000,16,0.5737,16.0000,16,0,0,0.000000
215,713.2,16.0000,16,0.5792,16.0000,16,0,0,0.000000
216,715.4,16.0000,16,0.5847,16.0000,16,0,0,0.000000
217,717.6,16.0000,16,0.5904,16.0000,16,0,0,0.000000
218,719.8,16.0000,16,0.5962,16.0000,16,0,0,0.000000
219,722,16.0000,16,0.6020,16.0000,16,0,0,0.000000
220,724.2,16.0000,16,0.6079,16.0000,16,0,0,0.000000
221,726.4,16.0000,16,0.6137,16.0000,16,0,0,0.000000
222,728.6,16.0000,16,0.6197,16.0000,16,0,0,0.000000
223,730.8,16.0000,16,0.6259,16.0000,16,0,0,0.000000
224,733,16.0000,16,0.6323,16.0000,16,0,0,0.000000
225,735.2,16.0000,16,0.6388,16.0000,16,0,0,0.000000
226,737.4,16.0000,16,0.6455,16.0000,16,0,0,0.000000
227,739.6,16.0000,16.113333333333,0.6522,16.1738,16,0.1738,0,0.000000
228,741.8,16.0000,17.746666666667,0.6590,18.6505,16,2.6505,0,0.000000
229,744,16.0000,18.12,0.6660,19.1832,16,3.1832,0,0.000000
230,746.2,16.0000,17.106666666667,0.6729,17.6446,16,1.6446,0,0.000000
231,748.4,16.0000,16,0.6799,16.0000,16,0,0,0.000000
232,750.6,16.0000,16,0.6870,16.0000,16,0,0,0.000000
233,752.8,16.0000,16,0.6942,16.0000,16,0,0,0.000000
234,755,16.0000,16,0.7017,16.0000,16,0,0,0.000000
235,757.2,16.0000,16,0.7091,16.0000,16,0,0,0.000000
236,759.4,16.0000,16,0.7165,16.0000,16,0,0,0.000000
237,761.6,16.0000,16,0.7240,16.0000,16,0,0,0.000000
238,763.8,16.0000,16,0.7314,16.0000,16,0,0,0.000000
239,766,16.0000,16,0.7390,16.0000,16,0,0,0.000000
240,768.2,16.0000,16,0.7465,16.0000,16,0,0,0.000000
241,770.4,16.0000,16,0.7540,16.0000,16,0,0,0.000000
242,772.6,16.0000,16,0.7614,16.0000,16,0,0,0.000000
243,774.8,16.0000,16,0.7687,16.0000,16,0,0,0.000000
244,777,16.0000,16,0.7760,16.0000,16,0,0,0.000000
245,779.2,16.0000,16,0.7832,16.0000,16,0,0,0.000000
246,781.4,16.0000,16,0.7903,16.0000,16,0,0,0.000000
247,783.6,16.0000,16,0.7974,16.0000,16,0,0,0.000000
248,785.8,16.0000,16,0.8044,16.0000,16,0,0,0.000000
249,788,16.0000,16,0.8112,16.0000,16,0,0,0.000000
250,790.2,16.0000,16,0.8178,16.0000,16,0,0,0.000000
251,792.4,16.0000,16,0.8242,16.0000,16,0,0,0.000000
252,794.6,16.0000,16,0.8303,16.0000,16,0,0,0.000000
253,796.8,16.0000,16,0.8362,16.0000,16,0,0,0.000000
254,799,16.0000,16,0.8417,16.0000,16,0,0,0.000000
255,801.2,16.0000,16,0.8469,16.0000,16,0,0,0.000000
256,803.4,16.0000,16,0.8519,16.0000,16,0,0,0.000000
257,805.6,16.0000,16,0.8568,16.0000,16,0,0,0.000000
258,807.8,16.0000,16,0.8614,16.0000,16,0,0,0.000000
